restaurant_id,restaurant_name,city,cuisine_type,rating
433,"Robles, Mckee and Turner",Port Patriciahaven,Chinese,3.5
434,Mcdaniel-Archer,Estesview,South Indian,3.7
435,Rodriguez-Perez,Alantown,Biryani,4.7
436,"Rodriguez, Andrade and Kennedy",Dawnhaven,North Indian,3.4
437,"Wong, Camacho and Hernandez",Mitchellview,Italian,4.7
438,"Bell, Freeman and Palmer",South Samanthashire,Chinese,4.1
439,Parker Inc,Tinaside,Fast Food,4.5
440,Kirby LLC,Hollandstad,North Indian,4.4
441,Savage-Hart,Lake Joelfurt,South Indian,3.4
442,Wagner-Winters,Scottside,Chinese,4.1
443,"Wood, Wilson and Lewis",New Michael,Biryani,4.7
444,Cantu-Nelson,East Christina,Biryani,3.9
445,Evans Inc,Carrieborough,South Indian,4.9
446,"Maldonado, Matthews and Curtis",Andrealand,South Indian,3.9
447,Davidson-Mullins,Karentown,Biryani,3.3
448,Stephens-Knox,Lake Anthonyshire,Italian,3.8
449,"Lewis, Rose and Caldwell",West Martinview,Italian,4.9
450,Jones LLC,Alanberg,Chinese,3.6
451,Young Ltd,New Sandra,Fast Food,4.7
452,Romero PLC,Mcconnellmouth,Chinese,4.8
453,Patrick-Gentry,East Nichole,Fast Food,3.7
454,Lawrence Ltd,Moodyville,South Indian,3.2
455,"Carlson, Cain and Hendricks",Kevinbury,North Indian,4.4
456,"Johnson, Conner and Powell",Port Anitaside,Chinese,3.6
457,Rodriguez PLC,North Russellbury,Chinese,4.6
458,Greene-Newman,Wilsonbury,Fast Food,3.9
459,Allen LLC,South Carolborough,South Indian,4.0
460,"Chang, Henderson and Roberts",New Jasonborough,South Indian,4.6
461,"Olsen, Ward and Garcia",Port Brettview,Fast Food,3.8
462,Barron-Barnes,Moralestown,South Indian,3.9
463,Middleton-Palmer,South Diana,Biryani,3.8
464,Compton-Barnes,Millerchester,Italian,3.7
465,Johnson-Robinson,Port Johnport,Biryani,4.1
466,Jones-Smith,New Janettown,North Indian,4.6
467,Smith Inc,Bartonton,Chinese,3.7
468,"Watson, Edwards and Montoya",Mendozaburgh,North Indian,4.0
469,"Murphy, Cole and Martin",Monroeberg,Chinese,4.3
470,Boone Inc,West Judyborough,Italian,3.5
471,"Chapman, Levy and Wu",South Lori,South Indian,3.6
472,"Lewis, Ford and Alexander",Port Cory,Biryani,4.9
473,Brown Ltd,Port Jeffrey,Fast Food,4.4
474,Strong PLC,New Sara,Biryani,4.2
475,"Anderson, Bartlett and Lynn",East Paulchester,Italian,4.3
476,"Navarro, Miller and James",Lake Karen,North Indian,3.1
477,Richard-Brooks,North Kevinberg,Fast Food,4.2
478,"Anderson, White and Hernandez",West Stephaniefurt,South Indian,4.0
479,Romero LLC,Josephville,Italian,4.1
480,Martinez-Petersen,North Janice,Fast Food,3.7
481,Montoya-Lewis,West Katherineville,Italian,3.2
482,"Barrett, Haynes and Arroyo",Markborough,Italian,3.4
